time,P,G(i),H_sun,T2m,WS10m,Int
20160110:2209,0.0,0.0,0.0,7.41,2.07,0.0
20160110:2309,0.0,0.0,0.0,7.05,2.07,0.0
20160111:0009,0.0,0.0,0.0,6.98,2.0,0.0
20160111:0109,0.0,0.0,0.0,6.83,2.07,0.0
20160111:0209,0.0,0.0,0.0,6.75,2.14,0.0
20160111:0309,0.0,0.0,0.0,6.54,2.14,0.0
20160111:0409,0.0,0.0,0.0,6.33,2.0,0.0
20160111:0509,19.64,105.43,4.68,6.37,1.86,0.0
20160111:0609,90.68,377.8,15.37,8.39,0.0,0.0
20160111:0709,142.39,598.27,24.66,12.06,0.0,0.0
20160111:0809,183.8,781.64,31.86,14.4,1.03,0.0
20160111:0909,200.51,872.87,36.11,15.52,0.76,0.0
20160111:1009,191.34,833.43,36.69,16.26,0.69,0.0
20160111:1109,198.72,847.85,33.49,16.76,2.07,0.0
20160111:1209,56.87,244.43,27.09,16.78,2.34,0.0
20160111:1309,77.22,324.55,18.35,16.35,1.86,0.0
20160111:1409,10.04,56.29,8.03,15.38,2.0,0.0
20160111:1509,0.0,0.0,0.0,13.86,2.97,0.0
20160111:1609,0.0,0.0,0.0,12.28,2.97,0.0
20160111:1709,0.0,0.0,0.0,11.29,2.55,0.0
20160111:1809,0.0,0.0,0.0,10.38,1.79,0.0
20160111:1909,0.0,0.0,0.0,10.4,1.1,0.0
20160111:2009,0.0,0.0,0.0,10.58,0.83,0.0
20160111:2109,0.0,0.0,0.0,10.47,0.62,0.0
20160111:2209,0.0,0.0,0.0,10.3,0.48,0.0
20160111:2309,0.0,0.0,0.0,10.06,0.34,0.0
20160112:0009,0.0,0.0,0.0,9.78,0.28,0.0
20160112:0109,0.0,0.0,0.0,9.55,0.34,0.0
20160112:0209,0.0,0.0,0.0,9.14,0.34,0.0
20160112:0309,0.0,0.0,0.0,8.88,0.48,0.0
20160112:0409,0.0,0.0,0.0,8.8,0.76,0.0
20160112:0509,14.07,79.47,4.7,8.63,0.9,0.0
20160112:0609,90.07,375.72,15.41,9.75,0.55,0.0
20160112:0709,0.0,0.0,0.0,12.09,0.83,0.0
20160112:0809,184.18,779.69,31.96,13.99,1.17,0.0
20160112:0909,205.05,886.69,36.25,15.22,1.1,0.0
20160112:1009,207.96,906.25,36.86,16.18,1.1,0.0
20160112:1109,197.8,855.28,33.67,16.9,1.31,0.0
20160112:1209,166.13,704.29,27.28,17.28,1.59,0.0
20160112:1309,119.88,502.19,18.53,17.28,1.79,0.0
20160112:1409,28.33,133.27,8.2,16.66,2.07,0.0
20160112:1509,0.0,0.0,0.0,14.9,2.41,0.0
20160112:1609,0.0,0.0,0.0,13.24,2.34,0.0
20160112:1709,0.0,0.0,0.0,11.93,2.14,0.0
20160112:1809,0.0,0.0,0.0,10.8,2.0,0.0
20160112:1909,0.0,0.0,0.0,10.16,1.66,0.0
20160112:2009,0.0,0.0,0.0,9.8,1.52,0.0
20160112:2109,0.0,0.0,0.0,9.42,1.52,0.0
20160112:2209,0.0,0.0,0.0,8.89,1.66,0.0
20160112:2309,0.0,0.0,0.0,8.41,1.79,0.0
20160113:0009,0.0,0.0,0.0,8.05,1.86,0.0
20160113:0109,0.0,0.0,0.0,7.42,2.0,0.0
20160113:0209,0.0,0.0,0.0,6.78,2.07,0.0
20160113:0309,0.0,0.0,0.0,6.36,2.0,0.0
